incident_id,latitude,longitude,timestamp,zone_hint,cluster_id
INC0000,17.30759676492421,78.57928460865209,2026-01-01 20:32:00,background/unclustered,-1
INC0001,17.407135533407622,78.55950038177032,2026-01-01 23:22:00,Secluded area near Uppal,0
INC0002,17.44675410819774,78.38686491903229,2026-01-02 02:03:00,Isolated stretch near HITEC City outskirts,1
INC0003,17.434790319168815,78.3933923097468,2026-01-02 19:17:00,background/unclustered,-1
INC0004,17.446326270071186,78.39519265043336,2026-01-03 02:28:00,Isolated stretch near HITEC City outskirts,1
INC0005,17.493349040062995,78.36197601217998,2026-01-03 03:48:00,Poorly lit stretch near Miyapur,2
INC0006,17.50545161097527,78.30037100392782,2026-01-03 05:07:00,background/unclustered,-1
INC0007,17.43827223119357,78.47493986802594,2026-01-03 20:53:00,Under-lit road near Begumpet,3
INC0008,17.403792655568793,78.55928959468527,2026-01-05 07:09:00,Secluded area near Uppal,0
INC0009,17.437978230904832,78.46207285806233,2026-01-05 23:01:00,Under-lit road near Begumpet,3
INC0010,17.433186470242582,78.46727780920442,2026-01-06 15:33:00,Under-lit road near Begumpet,3
INC0011,17.398878792462256,78.48185661406835,2026-01-06 19:35:00,background/unclustered,-1
INC0012,17.368156000183383,78.4240647304576,2026-01-07 01:10:00,background/unclustered,-1
INC0013,17.503981607854726,78.36114050289414,2026-01-07 19:11:00,Poorly lit stretch near Miyapur,-1
INC0014,17.448551298398932,78.39350638546138,2026-01-09 22:54:00,Isolated stretch near HITEC City outskirts,1
INC0015,17.447126403414565,78.39138064572255,2026-01-09 23:13:00,Isolated stretch near HITEC City outskirts,1
INC0016,17.506290818572936,78.36149851622372,2026-01-10 04:56:00,Poorly lit stretch near Miyapur,-1
INC0017,17.43950884500337,78.47009557296502,2026-01-10 19:24:00,Under-lit road near Begumpet,3
INC0018,17.444717760482888,78.46562329739159,2026-01-11 23:48:00,Under-lit road near Begumpet,3
INC0019,17.49277879338457,78.36666075929482,2026-01-12 22:23:00,Poorly lit stretch near Miyapur,2
INC0020,17.511791840343143,78.57427095478543,2026-01-12 22:24:00,background/unclustered,-1
INC0021,17.49737469323549,78.36252664475069,2026-01-12 22:28:00,Poorly lit stretch near Miyapur,2
INC0022,17.499083626019388,78.36829412375403,2026-01-13 01:31:00,Poorly lit stretch near Miyapur,2
INC0023,17.347966831179686,78.39701146863466,2026-01-13 03:40:00,background/unclustered,-1
INC0024,17.478956241170522,78.57270975619969,2026-01-14 02:43:00,background/unclustered,-1
INC0025,17.437877995409558,78.46519672703742,2026-01-14 09:21:00,Under-lit road near Begumpet,3
INC0026,17.33724796399255,78.45798713918069,2026-01-15 03:35:00,background/unclustered,-1
INC0027,17.44868566591612,78.39317640842238,2026-01-15 04:28:00,Isolated stretch near HITEC City outskirts,1
INC0028,17.488512910262113,78.36183332234995,2026-01-15 06:37:00,Poorly lit stretch near Miyapur,2
INC0029,17.4857826502403,78.36929271083133,2026-01-15 11:38:00,Poorly lit stretch near Miyapur,-1
INC0030,17.317820067513793,78.58639800900998,2026-01-15 20:50:00,background/unclustered,-1
INC0031,17.495253497018147,78.35873490131593,2026-01-17 00:06:00,Poorly lit stretch near Miyapur,2
INC0032,17.408706227852225,78.56034500061817,2026-01-18 17:46:00,Secluded area near Uppal,0
INC0033,17.406510763726466,78.55960946191415,2026-01-21 03:21:00,Secluded area near Uppal,0
INC0034,17.448202179290025,78.39292220526848,2026-01-21 22:06:00,Isolated stretch near HITEC City outskirts,1
INC0035,17.415020958153733,78.56178902913766,2026-01-22 03:53:00,Secluded area near Uppal,0
INC0036,17.441084246994972,78.47647922642405,2026-01-22 20:04:00,Under-lit road near Begumpet,-1
INC0037,17.49786167828681,78.36168487904375,2026-01-22 21:53:00,Poorly lit stretch near Miyapur,2
INC0038,17.4668983463909,78.54235378258237,2026-01-23 21:40:00,background/unclustered,-1
INC0039,17.407049903731405,78.51527932969745,2026-01-24 20:38:00,background/unclustered,-1
INC0040,17.43658696023185,78.46744287780918,2026-01-25 01:11:00,Under-lit road near Begumpet,3
INC0041,17.499166794070852,78.36657464783883,2026-01-25 20:53:00,Poorly lit stretch near Miyapur,2
INC0042,17.40330710011819,78.55769684301931,2026-01-25 23:19:00,Secluded area near Uppal,0
INC0043,17.500446419086817,78.36227213070569,2026-01-26 03:22:00,Poorly lit stretch near Miyapur,2
INC0044,17.45574164589087,78.48946806602775,2026-01-26 21:34:00,background/unclustered,-1
INC0045,17.497754895429562,78.36641126756352,2026-01-27 03:10:00,Poorly lit stretch near Miyapur,2
INC0046,17.439369104166985,78.46207976817793,2026-01-28 08:49:00,Under-lit road near Begumpet,3
INC0047,17.44823771285873,78.3490571617755,2026-01-28 10:56:00,background/unclustered,-1
INC0048,17.54667324508929,78.33689124255889,2026-01-29 03:25:00,background/unclustered,-1
INC0049,17.49450794765481,78.36489423345158,2026-01-29 19:25:00,Poorly lit stretch near Miyapur,2
INC0050,17.493979472529215,78.36461121078946,2026-01-29 22:46:00,Poorly lit stretch near Miyapur,2
INC0051,17.451942048873978,78.39138109856924,2026-01-30 13:20:00,Isolated stretch near HITEC City outskirts,1
INC0052,17.446211439103358,78.4657419284981,2026-01-30 21:40:00,Under-lit road near Begumpet,3
INC0053,17.493303234700385,78.36602224842963,2026-01-31 22:57:00,Poorly lit stretch near Miyapur,2
INC0054,17.315035585650197,78.46868904476337,2026-01-31 23:12:00,background/unclustered,-1
INC0055,17.404997273888487,78.55818313579378,2026-02-01 03:13:00,Secluded area near Uppal,0
INC0056,17.33209857236353,78.33123289481524,2026-02-01 21:41:00,background/unclustered,-1
INC0057,17.40456255640184,78.55570062252214,2026-02-02 03:54:00,Secluded area near Uppal,0
INC0058,17.434525639537835,78.46964196723991,2026-02-03 20:31:00,Under-lit road near Begumpet,3
INC0059,17.410683985868822,78.55676879759434,2026-02-04 00:40:00,Secluded area near Uppal,0
INC0060,17.437819849538613,78.46243047079395,2026-02-04 00:49:00,Under-lit road near Begumpet,3
INC0061,17.43561965892984,78.44798305403513,2026-02-04 00:50:00,background/unclustered,-1
INC0062,17.3951049260582,78.46454991649544,2026-02-04 19:31:00,background/unclustered,-1
INC0063,17.407884583493487,78.55668405925314,2026-02-04 23:11:00,Secluded area near Uppal,0
INC0064,17.444714659267483,78.39105204871797,2026-02-06 09:23:00,Isolated stretch near HITEC City outskirts,1
INC0065,17.499509018693555,78.35605232798717,2026-02-06 16:02:00,Poorly lit stretch near Miyapur,2
INC0066,17.52647277619694,78.53098341007549,2026-02-06 18:26:00,background/unclustered,-1
INC0067,17.488165286795567,78.35927041667341,2026-02-06 20:11:00,Poorly lit stretch near Miyapur,2
INC0068,17.445249492143137,78.39217463754876,2026-02-07 09:16:00,Isolated stretch near HITEC City outskirts,1
INC0069,17.444598492315333,78.46960084685077,2026-02-07 23:59:00,Under-lit road near Begumpet,3
INC0070,17.495231527678733,78.36468685474573,2026-02-08 07:29:00,Poorly lit stretch near Miyapur,2
INC0071,17.48980393903309,78.36090624381032,2026-02-08 08:48:00,Poorly lit stretch near Miyapur,2
INC0072,17.49414933732079,78.35935465961911,2026-02-08 23:58:00,Poorly lit stretch near Miyapur,2
INC0073,17.506007729703494,78.36197652490831,2026-02-09 22:55:00,Poorly lit stretch near Miyapur,-1
INC0074,17.449174553264214,78.39502704415578,2026-02-09 23:07:00,Isolated stretch near HITEC City outskirts,1
INC0075,17.30789653620641,78.5808636738731,2026-02-10 00:31:00,background/unclustered,-1
INC0076,17.452022337603083,78.39421106963869,2026-02-10 19:41:00,Isolated stretch near HITEC City outskirts,1
INC0077,17.54284877351041,78.35429308581284,2026-02-10 22:44:00,background/unclustered,-1
INC0078,17.546946380053722,78.34093192576702,2026-02-11 20:02:00,background/unclustered,-1
INC0079,17.325827239281004,78.47540121013277,2026-02-12 20:19:00,background/unclustered,-1
INC0080,17.440229651791025,78.46412356907037,2026-02-13 14:57:00,Under-lit road near Begumpet,3
